V_BCC,DeltaE_BCC,V_FCC,DeltaE_FCC
11.810069974944003,1.9603896693779408,12.106890281250001,2.2265283533496927
12.381428225540484,1.365057588382637,12.69260837317784,1.7024886022452836
12.970923333889221,0.9043867863524877,13.29691915315233,1.2850827639819045
13.57883868839259,0.5579460699852667,13.920113131924195,0.9655039854355323
14.205457677452976,0.3062384415867747,14.562480820244167,0.7319200532878725
14.851063689472754,0.1347140918517784,15.224312728862985,0.5752215221274817
15.5159401128543,0.03451687266591996,15.90589936853134,0.48845907948274814
16.200370336000006,0.0,16.607531250000005,0.4653908273292089
16.904637747312233,0.02494553202131833,17.32949888401968,0.4992665239451952
17.629025735193387,0.10091831842416354,18.072092781341123,0.5804002278781084
18.37381768804581,0.21879740610251375,18.835603452715002,0.6932005403921444
19.13929699427191,0.37125981673788644,19.620321408892117,0.8177438757630959
