V_FCC,DeltaE_FCC,V_BCC,DeltaE_BCC
14.02631579,0.906218487,14.0877193,0.33210084
14.37719298,0.782521008,14.42982456,0.227226891
14.71929825,0.681680672,14.74561404,0.145210084
15.05263158,0.611764706,15.0877193,0.08605042
15.36842105,0.557983193,15.4122807,0.038991597
15.71052632,0.516302521,15.73684211,0.014789916
16.03508772,0.489411765,16.04385965,0.0
16.35964912,0.471932773,16.40350877,0.006722689
16.71052632,0.475966387,16.70175439,0.013445378
17.05263158,0.488067227,17.03508772,0.038991597
17.36842105,0.506890756,17.36842105,0.068571429
17.71052632,0.544537815,17.69298246,0.110252101
18.02631579,0.579495798,18.00877193,0.151932773
18.36842105,0.623865546,18.35087719,0.205714286
18.71929825,0.680336134,18.68421053,0.268907563
