order,totaldegree,rcut,Lattice Constant
3,3,4.5,-3.108637940513311
3,3,7.5,-3.1693181818965237
3,3,10.5,-3.17783962438884
3,6,4.5,-3.1850686371534302
3,6,7.5,-3.1852438462010433
3,6,10.5,-3.1852438462010433
3,9,4.5,-3.190442925605261
3,9,7.5,-3.190442925605261
3,9,10.5,-3.190442925605261
3,12,4.5,-3.190442925605261
3,12,7.5,-3.190442925605261
3,12,10.5,-3.190442925605261
4,3,4.5,-3.119257383105557
4,3,7.5,-3.1672404007452974
4,3,10.5,-3.177731700098798
4,6,4.5,-3.1859699921792415
4,6,7.5,-3.190383621126814
4,6,10.5,-3.190383621126814
4,9,4.5,-3.190383621126814
4,9,7.5,-3.190383621126814
4,9,10.5,-3.190383621126814
4,12,4.5,-3.190383621126814
4,12,7.5,-3.190383621126814
4,12,10.5,-3.190383621126814
5,3,4.5,-3.1191996698308855
5,3,7.5,-3.167230095173059
5,3,10.5,-3.177731110795669
5,6,4.5,-3.1864465979644354
5,6,7.5,-3.1913011269328115
5,6,10.5,-3.1913011269328115
5,9,4.5,-3.1913011269328115
5,9,7.5,-3.1913011269328115
5,9,10.5,-3.1913011269328115
5,12,4.5,-3.1913011269328115
5,12,7.5,-3.1913011269328115
5,12,10.5,-3.1913011269328115
6,3,4.5,-3.1200925827042423
6,3,7.5,-3.1673882172263994
6,3,10.5,-3.177740096446513
6,6,4.5,-3.1862806204501104
6,6,7.5,-3.191433863539153
6,6,10.5,-3.191433863539153
6,9,4.5,-3.191433863539153
6,9,7.5,-3.191433863539153
6,9,10.5,-3.191433863539153
6,12,4.5,-3.191433863539153
6,12,7.5,-3.191433863539153
6,12,10.5,-3.191433863539153
