order,totaldegree,rcut,Vacancy formation energy
3,3,4.5,-0.5620490477099338
3,3,7.5,-1.023825632774333
3,3,10.5,0.565451128974928
3,6,4.5,1.3173371271595897
3,6,7.5,0.48101470962365056
3,6,10.5,0.5151098023488885
3,9,4.5,2.0730771473999994
3,9,7.5,2.213759120794748
3,9,10.5,2.198721391866002
3,12,4.5,2.4624385261599855
3,12,7.5,2.223704387318776
3,12,10.5,2.241919302995484
4,3,4.5,-0.5620490477590465
4,3,7.5,-1.0238256327552335
4,3,10.5,0.5654511289635593
4,6,4.5,1.063580207005998
4,6,7.5,0.4056621118138537
4,6,10.5,0.4991815825201229
4,9,4.5,2.7540955212439258
4,9,7.5,2.303239281336573
4,9,10.5,2.2411634046211475
4,12,4.5,2.7830078431284164
4,12,7.5,2.650630554138843
4,12,10.5,2.71749538809172
5,3,4.5,-0.5620490476958366
5,3,7.5,-1.0238256327565978
5,3,10.5,0.5654511289776565
5,6,4.5,0.9946898130701811
5,6,7.5,0.34273981367778106
5,6,10.5,0.43120052472932
5,9,4.5,2.8316694446280053
5,9,7.5,2.164637445018343
5,9,10.5,2.157015183116073
5,12,4.5,2.604341842460599
5,12,7.5,2.791249554612932
5,12,10.5,2.778726679750889
6,3,4.5,-0.5620490477172098
6,3,7.5,-1.0238256327738782
6,3,10.5,0.5654511289844777
6,6,4.5,1.0506700326609462
6,6,7.5,0.3390640998413801
6,6,10.5,0.3972416133351544
6,9,4.5,2.793493893684172
6,9,7.5,2.366069577311009
6,9,10.5,2.216011268578768
6,12,4.5,2.5672519296276732
6,12,7.5,2.7561579078455907
6,12,10.5,2.82702977050576
